,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
15,90年 2月,臺北縣," 1,010 ", 254 ,17, 70 ,1, 26 , 9 , 2 ,10,0, 1 ,5,16,16,0,3,2,0,90,1,6,27, 28 , 54 ,0,0,11,3,0,17,19,0,0,0,0,4,1,0,0,37,0,2, 49 ,0,2,5,0,0,0,0,0,0,0,6,0,0,2,0,0,0,10,3, 26 
16,90年 3月,臺北縣," 1,057 ", 271 ,10, 67 ,0, 38 , 21 , 10 ,15,2, 9 ,4,23,25,0,2,3,0,9,1,10,20, 26 , 72 ,0,0,12,2,0,28,24,0, 6 ,0,0,2,0,0,0,20,1,0, 82 ,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,13,9, 39 
17,90年 4月,臺北縣," 1,145 ", 313 ,13, 77 ,0, 56 , 16 , 7 ,17,0, 8 ,4,10,28,0,3,5,0,11,1,7,20, 28 , 92 ,0,0,10,12,0,15,19,0, 5 ,4,0,1,0,0,0,27,0,0, 68 ,0,1,3,0,1,0,0,0,1,0,6,0,0,2,0,0,0,6,5, 59 
18,90年 5月,臺北縣," 1,277 ", 283 ,7, 42 ,1, 76 , 18 , 7 ,14,0, 6 ,4,18,25,1,2,13,0,10,2,6,26, 39 , 85 ,0,0,13,13,0,29,36,0, 6 ,1,1,2,0,0,0,39,1,4, 122 ,0,3,3,0,0,0,0,0,1,0,15,0,0,2,0,0,0,14,4, 54 
19,90年 6月,臺北縣," 1,128 ", 253 ,9, 57 ,0, 68 , 15 , 10 ,10,1, 9 ,4,18,23,1,4,8,1,18,0,13,15, 37 , 75 ,0,0,9,2,0,26,30,0, 4 ,4,0,0,0,0,0,57,2,2, 94 ,0,1,1,0,0,1,0,0,0,0,11,0,0,3,0,1,0,10,12, 51 
20,90年 7月,臺北縣," 1,384 ", 331 ,14, 39 ,0, 49 , 10 , 6 ,16,0, 5 ,7,46,16,0,16,4,0,10,0,14,14, 43 , 61 ,0,0,12,7,0,22,52,0, 5 ,1,1,12,0,0,0,52,3,4, 122 ,0,1,2,0,1,0,0,0,1,0,10,0,0,0,0,1,0,5,25, 97 
21,90年 8月,臺北縣," 1,247 ", 379 ,6, 38 ,0, 40 , 28 , 10 ,21,0, 7 ,7,34,19,0,10,5,0,19,0,6,21, 38 , 54 ,0,0,9,9,0,28,46,0, 4 ,0,2,3,0,0,0,49,5,2, 89 ,0,2,1,0,1,0,0,0,2,0,10,0,0,1,0,0,0,11,37, 108 
22,90年 9月,臺北縣," 1,065 ", 292 ,6, 28 ,0, 28 , 10 , 6 ,8,3, 8 ,4,10,12,1,2,11,0,29,2,3,9, 40 , 24 ,0,0,5,1,0,25,50,0,0,1,1,0,0,0,0,36,3,2, 69 ,0,1,2,0,1,0,0,0,0,0,6,0,0,1,0,0,0,15,32, 45 
23,90年 10月,臺北縣," 1,271 ", 403 ,2, 30 ,0, 42 , 14 , 5 ,15,1, 3 ,4,30,18,2,6,6,1,64,3,6,11, 35 , 29 ,0,0,6,3,0,21,32,0, 2 ,0,0,3,0,0,0,49,2,3, 79 ,0,0,2,0,0,1,0,1,0,0,5,0,0,0,0,0,0,9,25, 79 
24,90年 11月,臺北縣," 1,234 ", 472 ,6, 32 ,1, 47 , 22 , 3 ,10,2, 10 ,5,30,16,0,1,3,1,92,1,3,8, 39 , 31 ,2,0,5,2,0,29,40,0, 2 ,1,0,5,0,0,0,52,1,1, 99 ,0,2,5,0,0,0,0,0,1,0,9,0,0,2,0,0,0,9,28, 65 
25,90年 12月,臺北縣, 936 , 323 ,4, 26 ,1, 30 , 18 , 6 ,10,1, 7 ,5,14,25,0,7,3,0,16,0,4,3, 20 , 26 ,0,0,8,6,0,28,61,0, 12 ,0,0,1,0,0,1,30,0,1, 73 ,0,4,2,1,1,0,0,0,0,0,3,0,0,2,0,0,0,4,21, 30 
26,91年,臺北縣," 18,911 "," 4,326 ",124, 337 ,5, 468 , 528 , 92 ,125,14, 67 ,46,358,243,7,69,57,1,253,9,101,165, 647 , 432 ,6,0,84,42,0,394,529,0, 48 ,17,11,6,1,0,1,264,20,32, 945 ,0,15,9,226,3,4,0,0,2,0,54,0,0,24,1,0,0,134,474," 1,019 "
27,91年 1月,臺北縣," 1,259 ", 332 ,1, 17 ,1, 19 , 18 , 8 ,8,2,0,1,30,6,2,4,2,0,5,0,4,7, 32 , 32 ,0,0,9,4,0,17,23,0, 6 ,0,0,2,0,0,0,44,0,0, 71 ,0,0,0,19,0,1,0,0,0,0,5,0,0,2,0,0,0,4,17, 57 
28,91年 2月,臺北縣," 1,927 ", 355 ,10, 31 ,0, 16 , 11 , 5 ,13,2, 1 ,4,12,10,0,6,4,0,51,0,3,15, 87 , 78 ,0,0,5,2,0,70,92,0, 6 ,2,1,0,1,0,0,15,1,1, 52 ,0,1,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,20,70, 78 
29,91年 3月,臺北縣," 1,358 ", 376 ,5, 30 ,0, 49 , 14 , 6 ,15,3, 5 ,11,24,14,0,4,9,0,21,2,9,10, 28 , 26 ,0,0,6,1,0,23,22,0, 1 ,1,0,0,0,0,1,31,3,1, 65 ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,40, 63 
30,91年 4月,臺北縣," 1,369 ", 328 ,22, 43 ,0, 43 , 18 , 9 ,9,0, 9 ,7,21,19,0,2,5,0,15,1,10,15, 40 , 40 ,1,0,6,4,0,21,11,0, 2 ,1,0,0,0,0,0,21,4,0, 46 ,0,1,2,0,0,0,0,0,1,0,3,0,0,2,0,0,0,12,48, 62 
31,91年 5月,臺北縣," 1,292 ", 323 ,7, 23 ,0, 38 , 30 , 9 ,7,0, 5 ,2,23,18,2,4,6,0,12,1,7,12, 32 , 23 ,0,0,12,6,0,45,23,0, 1 ,1,0,1,0,0,0,16,1,3, 77 ,0,2,2,53,0,0,0,0,0,0,1,0,0,3,0,0,0,9,29, 66 
32,91年 6月,臺北縣," 1,753 ", 388 ,12, 24 ,0, 45 , 47 , 11 ,13,0, 4 ,5,5,27,0,8,1,0,11,0,4,8, 39 , 34 ,1,0,7,6,0,20,38,0, 3 ,3,0,0,0,0,0,8,1,0, 64 ,0,1,0,143,1,0,0,0,0,0,2,0,0,0,0,0,0,3,40, 63 
33,91年 7月,臺北縣," 2,161 ", 409 ,15, 22 ,0, 50 , 57 , 7 ,8,3, 16 ,3,69,23,1,9,6,0,11,1,16,19, 65 , 38 ,1,0,12,1,0,25,61,0, 3 ,0,2,1,0,0,0,14,0,3, 91 ,0,2,0,8,0,0,0,0,0,0,5,0,0,2,0,0,0,13,41, 101 
34,91年 8月,臺北縣," 1,700 ", 387 ,18, 28 ,1, 39 , 79 , 7 ,9,0, 5 ,3,66,28,0,8,5,0,32,1,8,9, 81 , 31 ,0,0,6,6,0,31,74,0, 3 ,1,0,0,0,0,0,16,1,2, 96 ,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,9,29, 128 
35,91年 9月,臺北縣," 1,418 ", 361 ,10, 41 ,0, 24 , 48 , 4 ,10,1, 6 ,3,15,24,0,7,4,0,6,0,8,21, 51 , 22 ,0,0,7,2,0,23,51,0,0,4,0,1,0,0,0,29,4,2, 91 ,0,3,0,0,0,0,0,0,0,0,13,0,0,2,1,0,0,11,40, 77 
36,91年 10月,臺北縣," 1,573 ", 339 ,6, 34 ,0, 53 , 60 , 10 ,12,1, 4 ,3,26,22,2,6,3,0,27,2,12,18, 58 , 23 ,0,0,6,5,0,34,32,0, 2 ,3,1,0,0,0,0,20,1,7, 110 ,0,2,0,0,1,1,0,0,1,0,4,0,0,5,0,0,0,8,30, 97 
37,91年 11月,臺北縣," 1,630 ", 386 ,7, 18 ,1, 50 , 69 , 12 ,11,2, 9 ,3,29,27,0,6,8,0,40,1,11,20, 74 , 37 ,0,0,5,3,0,48,44,0, 3 ,1,2,1,0,0,0,17,1,7, 114 ,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,15,36, 127 
38,91年 12月,臺北縣," 1,471 ", 342 ,11, 26 ,2, 42 , 77 , 4 ,10,0, 3 ,1,38,25,0,5,4,1,22,0,9,11, 60 , 48 ,3,0,3,2,0,37,58,0, 18 ,0,5,0,0,0,0,33,3,6, 68 ,0,2,0,0,1,0,0,0,0,0,12,0,0,1,0,0,0,17,54, 100 
39,92年,臺北縣," 20,161 "," 5,341 ",103, 300 ,6, 336 , 670 , 72 ,124,9, 98 ,25,198,242,12,67,63,6,373,7,116,131, 757 , 520 ,10,0,68,20,0,290,567,0, 79 ,16,7,1,1,0,1,156,2,68, 535 ,0,21,0,0,2,2,0,0,2,7,57,0,0,33,1,0,1,162,357, 888 
40,92年 1月,臺北縣," 2,273 ", 591 ,33, 36 ,0, 39 , 46 , 5 ,14,3, 13 ,1,26,30,1,14,3,3,39,1,15,24, 117 , 75 ,2,0,7,3,0,37,97,0, 2 ,2,2,0,0,0,0,36,1,6, 84 ,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,26,44, 144 
41,92年 2月,臺北縣," 1,742 ", 427 ,15, 37 ,1, 20 , 48 , 5 ,9,1, 5 ,2,17,20,0,4,2,1,56,2,6,4, 51 , 46 ,1,0,9,0,0,28,31,0, 3 ,1,2,0,0,0,0,16,1,8, 64 ,0,1,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,10,34, 104 
42,92年 3月,臺北縣," 1,346 ", 513 ,1, 10 ,0, 30 , 46 , 2 ,14,1, 1 ,0,6,26,1,2,2,0,24,0,6,3, 25 , 16 ,0,0,6,3,0,18,61,0,0,1,0,0,0,0,0,5,0,2, 16 ,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7,15, 51 
43,92年 4月,臺北縣," 1,619 ", 486 ,4, 27 ,2, 50 , 68 , 8 ,15,0, 7 ,1,15,23,3,2,5,1,26,2,12,7, 69 , 20 ,1,0,8,1,0,30,48,0,0,3,0,0,0,0,0,5,0,5, 59 ,0,2,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,9,33, 94 
44,92年 5月,臺北縣," 1,449 ", 425 ,11, 51 ,0, 29 , 46 , 4 ,9,1, 12 ,3,23,35,3,6,6,0,39,0,13,15, 62 , 35 ,0,0,3,2,0,29,54,0, 10 ,1,0,0,0,0,0,11,0,8, 40 ,0,2,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,10,27, 67 
45,92年 6月,臺北縣," 1,593 ", 438 ,9, 30 ,0, 24 , 55 , 8 ,12,0, 11 ,4,12,24,0,5,6,0,37,0,11,24, 53 , 48 ,0,0,3,2,0,39,95,0, 13 ,1,0,0,0,0,0,10,0,2, 46 ,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,12,29, 66 
46,92年 7月,臺北縣," 1,822 ", 408 ,4, 25 ,1, 41 , 52 , 5 ,9,2, 11 ,3,35,17,0,4,10,0,58,1,11,11, 54 , 32 ,0,0,4,4,0,16,41,0, 8 ,2,1,0,1,0,0,8,0,8, 33 ,0,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,17,28, 79 
47,92年 8月,臺北縣," 1,851 ", 430 ,9, 18 ,0, 25 , 39 , 7 ,8,0, 3 ,1,15,14,1,5,6,0,11,0,5,6, 61 , 45 ,1,0,3,1,0,30,34,0, 15 ,2,1,1,0,0,0,5,0,4, 53 ,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,11,25, 76 
48,92年 9月,臺北縣," 1,552 ", 377 ,7, 11 ,1, 17 , 69 , 3 ,9,0, 5 ,1,28,13,1,4,11,0,15,1,6,5, 72 , 49 ,3,0,7,2,0,12,29,0, 1 ,0,0,0,0,0,0,6,0,1, 34 ,0,3,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,11,30, 42 
49,92年 10月,臺北縣," 1,743 ", 393 ,7, 26 ,0, 24 , 67 , 7 ,10,1, 10 ,1,5,15,2,11,4,0,14,0,11,12, 65 , 57 ,1,0,4,1,0,29,20,0, 21 ,1,0,0,0,0,0,10,0,4, 49 ,0,1,0,0,1,0,0,0,1,0,4,0,0,3,0,0,0,15,20, 49 
50,92年 11月,臺北縣," 1,731 ", 365 ,2, 20 ,0, 19 , 39 , 11 ,6,0, 11 ,4,6,13,0,7,1,0,44,0,10,11, 66 , 47 ,1,0,11,0,0,12,38,0, 4 ,1,1,0,0,0,0,16,0,14, 31 ,0,2,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,14,34, 52 
51,92年 12月,臺北縣," 1,440 ", 488 ,1, 9 ,1, 18 , 95 , 7 ,9,0, 9 ,4,10,12,0,3,7,1,10,0,10,9, 62 , 50 ,0,0,3,1,0,10,19,0, 2 ,1,0,0,0,0,1,28,0,6, 26 ,0,1,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,20,38, 64 
52,93年,臺北縣," 21,545 "," 6,507 ",85, 388 ,9, 169 ," 1,457 ", 61 ,141,11, 61 ,18,193,230,5,53,57,5,308,10,67,116," 1,164 ", 837 ,20,0,44,20,0,254,376,0, 53 ,17,2,3,0,0,0,98,0,39, 486 ,0,17,2,25,5,3,0,0,0,0,50,0,1,24,2,1,1,362,567, 824 
53,93年 1月,臺北縣," 1,615 ", 442 ,10, 27 ,1, 9 , 40 , 1 ,11,0, 4 ,2,12,27,2,6,2,0,84,0,3,13, 131 , 104 ,2,0,4,0,0,24,72,0, 6 ,1,0,0,0,0,0,4,0,3, 34 ,0,0,1,0,1,1,0,0,0,0,6,0,0,1,1,0,0,29,50, 60 
54,93年 2月,臺北縣," 1,493 ", 487 ,9, 22 ,1, 16 , 81 , 5 ,8,1, 2 ,0,13,17,0,5,6,0,22,1,5,13, 98 , 64 ,1,0,5,1,0,22,25,0, 1 ,1,0,1,0,0,0,15,0,2, 35 ,0,0,1,0,1,0,0,0,0,0,5,0,0,1,0,0,0,28,32, 44 
55,93年 3月,臺北縣," 1,421 ", 536 ,5, 55 ,0, 20 , 63 , 4 ,14,1, 5 ,4,19,23,0,6,4,0,47,0,5,18, 72 , 42 ,3,0,0,2,0,15,13,0, 3 ,2,0,0,0,0,0,3,0,7, 15 ,0,3,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,21,24, 46 
56,93年 4月,臺北縣," 1,814 ", 537 ,6, 16 ,1, 10 , 86 , 6 ,4,1, 7 ,1,15,11,0,2,5,1,22,2,3,9, 92 , 64 ,0,0,1,2,0,28,25,0, 14 ,0,1,0,0,0,0,10,0,2, 16 ,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,25,42, 49 
57,93年 5月,臺北縣," 1,932 ", 552 ,10, 17 ,1, 15 , 169 , 2 ,8,0, 7 ,1,8,17,0,3,3,0,51,1,9,12, 107 , 51 ,1,0,5,2,0,27,27,0,0,2,0,1,0,0,0,9,0,3, 36 ,0,1,0,1,0,0,0,0,0,0,11,0,0,1,0,0,0,30,32, 52 
58,93年 6月,臺北縣," 1,888 ", 469 ,4, 55 ,1, 14 , 151 , 9 ,15,2, 9 ,1,8,17,1,6,5,0,10,0,8,10, 78 , 55 ,3,0,4,2,0,12,12,0, 4 ,1,1,1,0,0,0,8,0,1, 43 ,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,15,18, 49 
59,93年 7月,臺北縣," 1,942 ", 491 ,13, 22 ,0, 14 , 125 , 9 ,9,0, 7 ,5,37,19,2,4,1,0,10,1,8,6, 132 , 88 ,2,0,8,1,0,17,36,0, 4 ,1,0,0,0,0,0,5,0,5, 38 ,0,3,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,52,48, 82 
60,93年 8月,臺北縣," 1,788 ", 515 ,3, 37 ,1, 14 , 123 , 5 ,11,1, 4 ,0,32,20,0,3,8,2,8,0,9,6, 128 , 80 ,3,0,3,3,0,23,30,0, 2 ,1,0,0,0,0,0,7,0,4, 36 ,0,3,0,0,1,1,0,0,0,0,5,0,0,4,1,0,0,30,95, 162 
61,93年 9月,臺北縣," 1,843 ", 583 ,2, 49 ,1, 20 , 165 , 5 ,15,1, 4 ,0,6,20,0,7,5,1,19,1,9,10, 100 , 66 ,0,0,2,0,0,23,68,0, 7 ,5,0,0,0,0,0,10,0,4, 44 ,0,5,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,45,50, 128 
62,93年 10月,臺北縣," 2,073 ", 648 ,6, 30 ,0, 18 , 171 , 4 ,13,3, 4 ,0,10,19,0,5,5,1,2,0,3,7, 86 , 85 ,1,0,5,3,0,22,41,0, 3 ,1,0,0,0,0,0,12,0,5, 93 ,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,1,33,56, 36 
63,93年 11月,臺北縣," 2,054 ", 685 ,12, 42 ,1, 15 , 168 , 4 ,18,0, 4 ,1,22,22,0,5,3,0,22,1,3,6, 89 , 79 ,2,0,3,2,0,30,14,0, 5 ,2,0,0,0,0,0,7,0,1, 50 ,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,1,0,39,70, 74 
64,93年 12月,臺北縣," 1,682 ", 562 ,5, 16 ,1, 4 , 115 , 7 ,15,1, 4 ,3,11,18,0,1,10,0,11,3,2,6, 51 , 59 ,2,0,4,2,0,11,13,0, 4 ,0,0,0,0,0,0,8,0,2, 46 ,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,15,50, 42 
65,94年,臺北縣," 26,127 "," 7,293 ",95, 570 ,3, 186 ," 2,359 ", 84 ,123,7, 51 ,18,200,240,4,50,89,1,174,7,57,93," 2,123 "," 1,640 ",14,1,44,27,121,347,469,0, 68 ,38,1,2,0,0,3,186,0,67, 645 ,0,26,2,71,3,1,0,0,0,1,39,0,0,5,0,0,2,390,469, 528 
66,94年 1月,臺北縣," 2,369 ", 602 ,12, 64 ,0, 14 , 124 , 6 ,11,1, 5 ,0,25,22,0,2,10,0,20,0,5,11, 227 , 230 ,2,0,4,4,10,51,32,0, 3 ,3,0,0,0,0,0,9,0,5, 69 ,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,56,44, 30 
67,94年 2月,臺北縣," 1,571 ", 449 ,6, 44 ,1, 9 , 81 , 2 ,3,0, 4 ,0,10,14,0,6,4,0,6,2,1,6, 97 , 105 ,0,0,1,1,4,31,40,0, 3 ,1,0,0,0,0,0,27,0,2, 39 ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,22, 19 
68,94年 3月,臺北縣," 1,920 ", 613 ,6, 37 ,0, 19 , 221 , 4 ,12,1, 2 ,2,11,20,0,5,7,0,7,1,0,10, 129 , 85 ,0,0,4,1,11,19,29,0, 8 ,5,0,0,0,0,0,6,0,10, 62 ,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,16,29, 32 
69,94年 4月,臺北縣," 1,796 ", 655 ,8, 47 ,0, 13 , 177 , 4 ,9,1, 3 ,0,11,20,1,1,7,0,10,0,5,8, 102 , 90 ,1,0,6,1,9,18,24,0, 7 ,1,0,0,0,0,0,6,0,5, 55 ,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,33,63, 26 
70,94年 5月,臺北縣," 1,838 ", 591 ,10, 86 ,0, 17 , 220 , 8 ,9,1, 4 ,3,10,25,0,6,4,0,10,1,7,5, 102 , 104 ,2,0,5,3,20,19,35,0, 5 ,3,0,0,0,0,0,24,0,10, 45 ,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,25,93, 33 
71,94年 6月,臺北縣," 1,856 ", 638 ,11, 47 ,0, 14 , 190 , 11 ,11,0, 5 ,0,19,18,0,8,8,0,27,0,4,8, 136 , 89 ,3,0,0,2,17,35,56,0, 3 ,3,0,0,0,0,0,16,0,9, 51 ,0,3,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,39,78, 38 
72,94年 7月,臺北縣," 2,305 ", 603 ,6, 53 ,1, 15 , 257 , 8 ,8,0, 2 ,5,38,25,1,5,6,0,6,0,7,9, 157 , 159 ,3,0,3,2,14,24,55,0, 6 ,4,0,1,0,0,0,23,0,4, 49 ,0,2,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,40,67, 44 
73,94年 8月,臺北縣," 3,471 ", 604 ,4, 57 ,0, 14 , 457 , 8 ,11,1, 4 ,3,31,22,0,5,12,0,23,0,6,11, 262 , 213 ,0,0,8,2,7,47,67,0, 4 ,7,0,0,0,0,0,25,0,8, 59 ,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,43,48, 164 
74,94年 9月,臺北縣," 2,195 ", 536 ,4, 27 ,0, 13 , 202 , 11 ,7,2, 7 ,0,4,18,1,3,5,0,23,0,3,1, 264 , 208 ,2,0,2,3,11,22,31,0, 8 ,3,1,0,0,0,0,12,0,4, 46 ,0,2,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,27,11, 36 
